Symbol,Name,Sector,2019-10-31,2019-11-29,2019-12-31,2020-01-31,2020-02-28,2020-03-31,2020-04-24
AVB,"AvalonBay Communities, Inc.",Real Estate,217.6600,214.4100,209.7000,216.6900,200.5900,147.1700,
AVY,Avery Dennison Corp,Materials,127.8600,130.3700,130.8200,131.2400,114.4900,101.8700,
BHGE,"Baker Hughes, a GE Company",Energy,21.4000,22.4200,25.6300,21.6600,16.0900,10.5000,13.5700
BLL,Ball Corp,Materials,69.9700,66.0600,64.6700,72.1800,70.4600,64.6600,
BAC,Bank of America Corp,Financials,31.2700,33.3200,35.2200,32.8300,28.5000,21.2300,
BAX,Baxter International Inc.,Health Care,76.7000,81.9700,83.6200,89.2200,83.4700,81.1900,
BBT,BB&T Corporation,Financials,,,,,,,
BDX,Becton Dickinson,Health Care,256.0000,258.5000,271.9700,275.1800,237.8200,229.7700,
BRK.B,Berkshire Hathaway,Financials,212.5800,220.3000,226.5000,224.4300,206.3400,182.8300,
BBY,Best Buy Co. Inc.,Consumer Discretionary,71.8300,80.6400,87.8000,84.6900,75.6500,57.0000,
BIIB,Biogen Inc.,Health Care,298.7100,299.8100,296.7300,268.8500,308.3900,316.3800,
BLK,BlackRock,Financials,461.7000,494.9100,502.7000,527.3500,463.0100,439.9700,
HRB,Block H&R,Financials,24.9900,24.3800,23.4800,23.2000,20.6700,14.0800,
BA,Boeing Company,Industrials,339.9100,366.1800,325.7600,318.2700,275.1100,149.1400,
BKNG,Booking Holdings Inc,Consumer Discretionary,2048.7700,1904.0300,2053.7300,1830.5500,1695.6600,1345.3200,
BWA,BorgWarner,Consumer Discretionary,41.6800,42.0500,43.3800,34.2900,31.6000,24.3700,
BXP,Boston Properties,Real Estate,137.2000,138.5400,137.8600,143.3500,128.9400,92.2300,
BSX,Boston Scientific,Health Care,41.7000,43.2500,45.2200,41.8700,37.3900,32.6300,
BHF,Brighthouse Financial Inc,Financials,37.7600,41.1600,39.2300,38.9000,35.8400,24.1700,
BMY,Bristol-Myers Squibb,Health Care,57.3700,56.9400,64.1900,62.9500,59.0600,55.7400,
AVGO,Broadcom,Information Technology,292.8500,316.2100,316.0200,305.1600,272.6200,237.1000,
BF.B,Brown-Forman Corp.,Consumer Staples,,,,,,,
CHRW,C. H. Robinson Worldwide,Industrials,75.6400,76.8500,78.2000,72.2200,68.9000,66.2000,
CA,"CA, Inc.",Information Technology,,,,,,,
COG,Cabot Oil & Gas,Energy,18.6400,15.9400,17.4100,14.0900,13.9300,17.1900,
CDNS,Cadence Design Systems,Information Technology,65.3500,70.2500,69.3600,72.1100,66.1400,66.0400,
CPB,Campbell Soup,Consumer Staples,46.3100,46.5700,49.4200,48.3900,45.1200,46.1600,
COF,Capital One Financial,Financials,93.2500,100.0100,102.9100,99.8000,88.2600,50.4200,
CAH,Cardinal Health Inc.,Health Care,49.4500,55.0300,50.5800,51.2100,52.1200,47.9400,
KMX,Carmax Inc,Consumer Discretionary,93.1700,97.2600,87.6700,97.0400,87.3100,53.8300,
CCL,Carnival Corp.,Consumer Discretionary,42.8900,45.0800,50.8300,43.5300,33.4600,13.1700,
CAT,Caterpillar Inc.,Industrials,137.8000,144.7300,147.6800,131.3500,124.2400,116.0400,
CBOE,Cboe Global Markets,Financials,115.1500,118.9000,120.0000,123.2200,114.0000,89.2500,
CBRE,CBRE Group,Real Estate,53.5500,57.0200,61.2900,61.0500,56.1400,37.7100,
CBS,CBS Corp.,Consumer Discretionary,36.0400,40.3800,,,,,
CELG,Celgene Corp.,Health Care,108.0300,,,,,,108.2400
CNC,Centene Corporation,Health Care,53.0800,60.4700,62.8700,62.8100,53.0200,59.4100,
CNP,CenterPoint Energy,Utilities,29.0700,24.5600,27.2700,26.4800,23.0200,15.4500,
CTL,CenturyLink Inc,Telecommunication Services,12.9400,14.4900,13.2100,13.6600,12.0700,9.4600,
CERN,Cerner,Health Care,67.1200,71.5900,73.3900,71.8300,69.2700,62.9900,
CF,CF Industries Holdings Inc,Materials,45.3500,46.2100,47.7400,40.2800,36.8600,27.2000,
SCHW,Charles Schwab Corporation,Financials,40.7100,49.5000,47.5600,45.5500,40.7500,33.6200,
CHTR,Charter Communications,Consumer Discretionary,467.8600,470.0100,485.0800,517.4600,493.1700,436.3100,
CVX,Chevron Corp.,Energy,116.1400,117.1300,120.5100,107.1400,93.3400,72.4600,
CMG,Chipotle Mexican Grill,Consumer Discretionary,778.1600,813.9200,837.1100,866.7600,773.5800,654.4000,
CB,Chubb Limited,Financials,152.4200,151.4800,155.6600,151.9900,145.0300,111.6900,
CHD,Church & Dwight,Consumer Staples,69.9400,70.2400,70.3400,74.2200,69.5200,64.1800,
CI,CIGNA Corp.,Health Care,178.4600,199.9200,204.4900,192.3800,182.9400,177.1800,
XEC,Cimarex Energy,Energy,42.2200,45.9700,52.4900,43.8900,33.0500,16.8300,
CINF,Cincinnati Financial,Financials,113.2100,107.0500,105.1500,104.9500,93.2400,75.4500,
CTAS,Cintas Corporation,Industrials,268.6700,257.0600,269.0800,278.9700,266.7400,173.2200,
CSCO,Cisco Systems,Information Technology,47.5100,45.3100,47.9600,45.9700,39.9300,39.3100,
C,Citigroup Inc.,Financials,71.8600,75.1200,79.8900,74.4100,63.4600,42.1200,
CFG,Citizens Financial Group,Financials,35.1600,38.4600,40.6100,37.2800,31.6900,18.8100,
CTXS,Citrix Systems,Information Technology,108.8600,112.8100,110.9000,121.2200,103.3900,141.5500,
CME,CME Group Inc.,Financials,205.7500,202.7300,200.7200,217.1100,198.8200,172.9100,
CMS,CMS Energy,Utilities,63.9200,61.3000,62.8400,68.5100,60.4200,58.7500,
KO,Coca-Cola Company (The),Consumer Staples,54.4300,53.4000,55.3500,58.4000,53.4900,44.2500,
CTSH,Cognizant Technology Solutions,Information Technology,60.9400,64.1100,62.0200,61.3800,60.9300,46.4700,
CL,Colgate-Palmolive,Consumer Staples,68.6000,67.8200,68.8400,73.7800,67.5700,66.3600,
CMCSA,Comcast Corp.,Consumer Discretionary,44.8200,44.1500,44.9700,43.1900,40.4300,34.3800,
CMA,Comerica Inc.,Financials,65.4200,70.4100,71.7500,61.1600,52.6400,29.3400,
CAG,Conagra Brands,Consumer Staples,27.0500,28.8700,34.2400,32.9200,26.6900,29.3400,
CXO,Concho Resources,Energy,67.5200,72.5600,87.5700,75.7800,68.0200,42.8500,
COP,ConocoPhillips,Energy,55.2000,59.9400,65.0300,59.4300,48.4200,30.8000,
ED,Consolidated Edison,Utilities,92.2200,86.8900,90.4700,94.0000,78.8200,78.0000,
STZ,Constellation Brands,Consumer Staples,190.3300,186.0600,189.7500,188.3000,172.3800,143.3600,
GLW,Corning Inc.,Information Technology,29.6300,29.0400,29.1100,26.6900,23.8600,20.5400,
COST,Costco Wholesale Corp.,Consumer Staples,297.1100,299.8100,293.9200,305.5200,281.1400,285.1300,
COTY,"Coty, Inc",Consumer Staples,11.6900,11.5400,11.2500,10.2600,9.2300,5.1600,
CCI,Crown Castle International Corp.,Real Estate,138.7900,133.6600,142.1500,149.8400,143.2900,144.4000,
CSRA,CSRA Inc.,Information Technology,,,,,,,
CSX,CSX Corp.,Industrials,70.2700,71.5400,72.3600,76.3400,70.4500,57.3000,
CMI,Cummins Inc.,Industrials,172.4800,182.8600,178.9600,159.9700,151.2900,135.3200,
CVS,CVS Health,Consumer Staples,66.3900,75.2700,74.2900,67.8200,59.1800,59.3300,
DHI,D. R. Horton,Consumer Discretionary,52.3700,55.3500,52.7500,59.2000,53.2700,34.0000,
DHR,Danaher Corp.,Health Care,137.8200,145.9800,153.4800,160.8700,144.5800,138.4100,
DRI,Darden Restaurants,Consumer Discretionary,112.2700,118.4400,109.0100,116.4300,97.5000,54.4600,
DVA,DaVita Inc.,Health Care,58.6000,71.7700,75.0300,79.8700,77.6200,76.0600,
DE,Deere & Co.,Industrials,174.1400,168.0500,173.2600,158.5800,156.4800,138.1600,
DAL,Delta Air Lines Inc.,Industrials,55.0800,57.3100,58.4800,55.7400,46.1300,28.5300,
XRAY,Dentsply Sirona,Health Care,54.7800,56.5400,56.5900,56.0000,49.2400,38.8300,
DVN,Devon Energy Corp.,Energy,20.2800,21.8900,25.9700,21.7200,16.2400,6.9100,
DLR,Digital Realty Trust Inc,Real Estate,127.0400,120.9500,119.7400,122.9900,120.1100,138.9100,
DFS,Discover Financial Services,Financials,80.2600,84.8700,84.8200,75.1300,65.5800,35.6700,
DISCA,Discovery Inc. Class A,Consumer Discretionary,26.9550,32.9400,32.7400,29.2600,25.7000,19.4400,
DISCK,Discovery Inc. Class C,Consumer Discretionary,25.2400,30.5200,30.4900,27.7700,25.1000,17.5400,
DISH,Dish Network,Consumer Discretionary,34.3800,34.1700,35.4700,36.7600,33.5200,19.9900,
DG,Dollar General,Consumer Discretionary,160.3400,157.3600,155.9800,153.4100,150.3000,151.0100,
DLTR,Dollar Tree,Consumer Discretionary,110.4000,91.4600,94.0500,87.0700,83.0300,73.4700,
D,Dominion Energy,Utilities,82.5500,83.1100,82.8200,85.7500,78.1800,72.1900,
DOV,Dover Corp.,Industrials,103.8900,111.4800,115.2600,113.8500,102.7400,83.9400,
DWDP,DowDuPont,Materials,,,,,,,
DPS,Dr Pepper Snapple Group,Consumer Staples,,,,,,,
DTE,DTE Energy Co.,Utilities,127.3200,124.9400,129.8700,132.6100,111.6700,94.9700,
DUK,Duke Energy,Utilities,94.2600,88.1700,91.2100,97.6300,91.7000,80.8800,
DRE,Duke Realty Corp,Real Estate,35.1400,35.1800,34.6700,36.3100,32.4700,32.3800,
DXC,DXC Technology,Information Technology,27.6700,37.3300,37.5900,31.8800,24.1100,13.0500,
ETFC,E*Trade,Financials,41.7900,44.3000,45.3700,42.6200,45.7800,34.3200,
EMN,Eastman Chemical,Materials,76.0400,78.3700,79.2600,71.2700,61.5100,46.5800,
ETN,Eaton Corporation,Industrials,87.1100,92.5000,94.7200,94.4700,90.7200,77.6900,
EBAY,eBay Inc.,Information Technology,35.2500,35.5200,36.1100,33.5600,34.6400,30.0600,
ECL,Ecolab Inc.,Materials,192.0700,186.6700,192.9900,196.1100,180.4500,155.8300,
EIX,Edison Int'l,Utilities,62.9000,69.1000,75.4100,76.5500,67.1900,54.7900,
EW,Edwards Lifesciences,Health Care,238.3800,244.9400,233.2900,219.8600,204.8400,188.6200,
EA,Electronic Arts,Information Technology,96.4000,101.0100,107.5100,107.9200,101.3700,100.1700,
EMR,Emerson Electric Company,Industrials,70.1500,73.8600,76.2600,71.6300,64.1100,47.6500,
ETR,Entergy Corp.,Utilities,121.4800,116.3900,119.8000,131.5200,116.9100,93.9700,
EVHC,Envision Healthcare,Health Care,,,,,,,
EOG,EOG Resources,Energy,69.3100,70.9000,83.7600,72.9100,63.2600,35.9200,
EQT,EQT Corporation,Energy,10.7400,8.7300,10.9000,6.0500,5.8700,7.0700,
EFX,Equifax Inc.,Industrials,136.7100,139.6400,140.1200,149.9000,142.0400,119.4500,
EQIX,Equinix,Real Estate,566.7800,566.8500,583.7000,589.7300,572.8000,624.5700,
EQR,Equity Residential,Real Estate,88.6600,85.1000,80.9200,83.0800,75.1000,61.7100,
ESS,"Essex Property Trust, Inc.",Real Estate,327.1300,312.1800,300.8600,309.7600,283.3600,220.2400,
EL,Estee Lauder Cos.,Consumer Staples,186.2700,195.4700,206.5400,195.1600,183.6000,159.3400,
RE,Everest Re Group Ltd.,Financials,257.0900,271.2600,276.8400,276.5700,247.8800,192.4200,
ES,Eversource Energy,Utilities,83.7400,82.6400,85.0700,92.4400,86.4600,78.2100,
EXC,Exelon Corp.,Utilities,45.4900,44.4000,45.5900,47.5900,43.1100,36.8100,
EXPE,Expedia Inc.,Consumer Discretionary,136.6600,101.6600,108.1400,108.4500,98.6200,56.2700,
EXPD,Expeditors International,Industrials,72.9400,74.7600,78.0200,73.0400,70.4200,66.7200,
ESRX,Express Scripts,Health Care,,,,,,,92.3300
EXR,Extra Space Storage,Real Estate,112.2700,106.0500,105.6200,110.6800,100.3600,95.7600,
XOM,Exxon Mobil Corp.,Energy,67.5700,68.1300,69.7800,62.1200,51.4400,37.9700,
FFIV,F5 Networks,Information Technology,144.0800,145.7100,139.6500,122.1200,119.9500,106.6300,
FB,"Facebook, Inc.",Information Technology,191.6500,201.6400,205.2500,201.9100,192.4700,166.8000,
FAST,Fastenal Co,Industrials,35.9400,35.5200,36.9500,34.8800,34.2200,31.2500,
FRT,Federal Realty Investment Trust,Real Estate,136.0100,132.0700,128.7300,125.0200,116.3400,74.6100,
FDX,FedEx Corporation,Industrials,152.6600,160.0500,151.2100,144.6400,141.1700,121.2600,
FIS,Fidelity National Information Services,Information Technology,131.7600,138.1500,139.0900,143.6600,139.7200,121.6400,
FITB,Fifth Third Bancorp,Financials,29.0800,30.1900,30.7400,28.4500,24.4000,14.8500,
FE,FirstEnergy Corp,Utilities,48.3200,47.6900,48.6000,50.7900,44.5300,40.0700,
FISV,Fiserv Inc,Information Technology,106.1400,116.2400,115.6300,118.6100,109.3600,94.9900,
FLIR,FLIR Systems,Information Technology,51.5600,53.5600,52.0700,51.5400,42.4700,31.8900,
FLS,Flowserve Corporation,Industrials,48.8400,48.7000,49.7700,46.6800,40.1900,23.8900,
FLR,Fluor Corp.,Industrials,16.1100,17.4400,18.8800,17.8900,9.3200,6.9100,
FMC,FMC Corporation,Materials,91.5000,97.9600,99.8200,95.5900,93.1000,81.6900,
FL,Foot Locker Inc,Consumer Discretionary,43.5100,40.0500,38.9900,37.9700,36.2500,22.0500,
F,Ford Motor,Consumer Discretionary,8.5900,9.0600,9.3000,8.8200,6.9600,4.8300,
FTV,Fortive Corp,Industrials,69.0000,72.1700,76.3900,74.9300,69.1600,55.1900,
FBHS,Fortune Brands Home & Security,Industrials,60.0500,63.2600,65.3400,68.7100,61.7500,43.2500,
BEN,Franklin Resources,Financials,27.5500,27.4900,25.9800,25.3000,21.7600,16.6900,
FCX,Freeport-McMoRan Inc.,Materials,9.8200,11.3800,13.1200,11.1000,9.9600,6.7500,
GPS,Gap Inc.,Consumer Discretionary,16.2600,16.6100,17.6800,17.4100,14.3300,7.0400,
GRMN,Garmin Ltd.,Consumer Discretionary,93.7500,97.6900,97.5600,96.9500,88.3900,74.9600,
IT,Gartner Inc,Information Technology,154.0800,160.4600,154.1000,160.7800,129.3900,99.5700,
GD,General Dynamics,Industrials,176.8000,181.7400,176.3500,175.4400,159.6900,132.3100,
GE,General Electric,Industrials,9.9800,11.2700,11.1600,12.4500,10.8800,7.9400,
GGP,General Growth Properties Inc.,Real Estate,,,,,,,
GIS,General Mills,Consumer Staples,50.8600,53.3200,53.5600,52.2200,49.0000,52.7700,
GM,General Motors,Consumer Discretionary,37.1600,36.0000,36.6000,33.3900,30.5000,20.7800,
GPC,Genuine Parts,Consumer Discretionary,102.5800,104.3700,106.2300,93.5700,87.2400,67.3300,
GILD,Gilead Sciences,Health Care,63.7100,67.2400,64.9800,63.2000,69.3600,74.7600,
GPN,Global Payments Inc.,Information Technology,169.1800,181.1000,182.5600,195.4500,183.9700,144.2300,
GS,Goldman Sachs Group,Financials,213.3800,221.3500,229.9300,237.7500,200.7700,154.5900,
GT,Goodyear Tire & Rubber,Consumer Discretionary,15.8700,15.9900,15.5550,13.1300,9.6850,5.8200,
GWW,Grainger (W.W.) Inc.,Industrials,308.8400,316.9500,338.5200,302.6700,277.5400,248.5000,
HAL,Halliburton Co.,Energy,19.2500,20.9900,24.4700,21.8100,16.9600,6.8500,
HBI,Hanesbrands Inc,Consumer Discretionary,15.2100,15.0700,14.8500,13.7600,13.2400,7.8700,
HOG,Harley-Davidson,Consumer Discretionary,38.9100,36.3800,37.1900,33.4000,30.4700,18.9300,
HRS,Harris Corporation,Information Technology,206.3100,201.0900,197.8700,221.3300,197.7300,180.1200,189.4300
HIG,Hartford Financial Svc.Gp.,Financials,57.0800,61.8600,60.7700,59.2800,49.9500,35.2400,
HAS,Hasbro Inc.,Consumer Discretionary,97.3100,101.7000,105.6100,101.8700,77.2500,71.5500,
HCA,HCA Holdings,Health Care,133.5400,138.6600,147.8100,138.8000,127.0100,89.8500,
HCP,HCP Inc.,Real Estate,37.6200,34.8800,34.4700,35.9900,31.6400,23.8500,24.3200
HP,Helmerich & Payne,Energy,37.5000,39.5300,45.4300,40.5500,36.8900,15.6500,
HSIC,Henry Schein,Health Care,62.5850,68.9000,66.7200,68.9400,60.9400,50.5200,
HES,Hess Corporation,Energy,65.7500,62.0900,66.8100,56.5700,56.1800,33.3000,
HPE,Hewlett Packard Enterprise,Information Technology,16.4100,15.8300,15.8600,13.9300,12.7900,9.7100,
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,96.9600,105.0000,110.9100,107.8000,97.2000,68.2400,
HOLX,Hologic,Health Care,48.3100,51.3200,52.2100,53.5200,47.1200,35.1000,
HD,Home Depot,Consumer Discretionary,234.5800,220.5100,218.3800,228.1000,217.8400,186.7100,
HON,Honeywell Int'l Inc.,Industrials,172.7300,178.5500,177.0000,173.2200,162.1700,133.7900,
HRL,Hormel Foods Corp.,Consumer Staples,40.8900,44.5300,45.1100,47.2600,41.6000,46.6400,
HST,Host Hotels & Resorts,Real Estate,16.3900,17.4900,18.5500,16.3400,14.4800,11.0400,
HPQ,HP Inc.,Information Technology,17.3700,20.0800,20.5500,21.3200,20.7900,17.3600,
HUM,Humana Inc.,Health Care,294.2000,341.2300,366.5200,336.2400,319.6800,314.0200,
HBAN,Huntington Bancshares,Financials,14.1300,14.8900,15.0800,13.5700,12.2700,8.2100,
HII,Huntington Ingalls Industries,Industrials,225.6600,251.6700,250.8800,261.0000,205.5300,182.2100,
IDXX,IDEXX Laboratories,Health Care,285.0100,251.5800,261.1300,271.0100,254.5100,242.2400,
INFO,IHS Markit Ltd.,Industrials,70.0200,72.6500,75.3500,78.8600,71.2400,60.0000,
ITW,Illinois Tool Works,Industrials,168.5800,174.3300,179.6300,174.9800,167.7800,142.1200,
ILMN,Illumina Inc,Health Care,295.5200,320.7600,331.7400,290.0700,265.6700,273.1200,
INCY,Incyte,Health Care,83.9200,94.1600,87.3200,73.0700,75.4100,73.2300,
IR,Ingersoll-Rand PLC,Industrials,31.8300,33.8700,36.6800,35.3100,32.7900,24.8000,
INTC,Intel Corp.,Information Technology,56.5300,58.0500,59.8500,63.9300,55.5200,54.1200,
ICE,Intercontinental Exchange,Financials,94.3200,94.1700,92.5500,99.7400,89.2200,80.7500,
IBM,International Business Machines,Information Technology,133.7300,134.4500,134.0400,143.7300,130.1500,110.9300,
IP,International Paper,Materials,43.6800,46.3400,46.0500,40.7200,36.9600,31.1300,
IPG,Interpublic Group,Consumer Discretionary,21.7500,22.4000,23.1000,22.7000,21.3600,16.1900,
IFF,Intl Flavors & Fragrances,Materials,122.0100,141.2300,129.0200,131.1100,119.7800,102.0800,
INTU,Intuit Inc.,Information Technology,257.5000,258.8900,261.9300,280.3800,265.8500,230.0000,
ISRG,Intuitive Surgical Inc.,Health Care,552.9500,592.9000,591.1500,559.7800,533.9600,495.2100,
IVZ,Invesco Ltd.,Financials,16.8200,17.5600,17.9800,17.3000,14.4000,9.0800,
IPGP,IPG Photonics Corp.,Information Technology,134.2800,142.0900,144.9200,127.6700,127.6400,110.2800,
IQV,IQVIA Holdings Inc.,Health Care,144.4200,145.9800,154.5100,155.2500,139.4900,107.8600,
IRM,Iron Mountain Incorporated,Real Estate,32.8000,32.1200,31.8700,31.6100,30.4100,23.8000,
JBHT,J. B. Hunt Transport Services,Industrials,117.5600,115.6200,116.7800,107.9300,96.4400,92.2300,
JEC,Jacobs Engineering Group,Industrials,93.5800,92.0900,89.8300,92.5300,92.3400,79.2700,80.0000
SJM,JM Smucker,Consumer Staples,105.6800,105.0900,104.1300,103.6100,102.9900,111.0000,
JNJ,Johnson & Johnson,Health Care,132.0400,137.4900,145.8700,148.8700,134.4800,131.1300,
JCI,Johnson Controls International,Industrials,43.3300,42.8300,40.7100,39.4500,36.5700,26.9600,
JPM,JPMorgan Chase & Co.,Financials,124.9200,131.7600,139.4000,132.3600,116.1100,90.0300,
JNPR,Juniper Networks,Information Technology,24.8200,25.0600,24.6300,22.9400,21.2200,19.1400,
KSU,Kansas City Southern,Industrials,140.7800,152.4200,153.1600,168.6900,150.6800,127.1800,
K,Kellogg Co.,Consumer Staples,63.5300,65.1200,69.1600,68.2100,60.4700,59.9900,
KEY,KeyCorp,Financials,17.9700,19.3900,20.2400,18.7100,16.3500,10.3700,
KMB,Kimberly-Clark,Consumer Staples,132.8800,136.3400,137.5500,143.2400,131.1900,127.8700,
KIM,Kimco Realty,Real Estate,21.5600,21.6200,20.7100,19.0500,17.3500,9.6700,
KMI,Kinder Morgan,Energy,19.9800,19.6100,21.1700,20.8700,19.1700,13.9200,
KLAC,KLA-Tencor Corp.,Information Technology,169.0400,163.8600,178.1700,165.7400,153.7100,143.7400,
KSS,Kohl's Corp.,Consumer Discretionary,51.2600,47.0100,50.9500,42.7500,39.1500,14.5900,
KHC,Kraft Heinz Co,Consumer Staples,32.3300,30.5000,32.1300,29.2000,24.7700,24.7400,
KR,Kroger Co.,Consumer Staples,24.6400,27.3400,28.9900,26.8600,28.1300,30.1200,
LB,L Brands Inc.,Consumer Discretionary,17.0400,19.1400,18.1200,23.1600,21.6600,11.5600,
LLL,L-3 Communications Holdings,Industrials,,,,,,,
LH,Laboratory Corp. of America Holding,Health Care,164.7700,172.2900,169.1700,175.4000,175.6900,126.3900,
